Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01-07-2024,6.8,12,4.4,0.4,5.4,S,19,12:45,7.5,97,7,NE,2,1028.4,11.6,61,3,SSW,7,1028.3
02-07-2024,3.8,12.4,0,0.2,7.1,SSW,22,15:23,5.7,90,7,NE,6,1034.4,11.5,51,4,SSW,11,1033
03-07-2024,1,11.7,0,1.2,8.9,SSW,17,15:58,2.8,84,0,NE,9,1037.9,10.6,67,1,WSW,9,1036.7
04-07-2024,1.3,11.9,0,0.6,2.9,NE,15,08:39,2.3,95,1,NE,11,1040.3,10.7,84,8,WSW,6,1037.9
05-07-2024,2.2,11.4,0,0.6,0,SSE,17,19:10,8.8,96,7, ,Calm,1041.1,11,87,8,SW,7,1039.9
06-07-2024,3.7,10.5,0,0.4,5.7,ESE,13,10:41,7.6,82,7,ENE,2,1041.5,9.9,72,1,S,7,1038
07-07-2024,3.4,16.9,0,0.6,7.2,NE,24,14:59,3.6,100,1,NE,9,1035,15.8,44,5,NE,17,1028.9
08-07-2024,3.5,16.6,0,1.6,0.3,NNE,41,13:15,9.4,77,7,NNE,4,1023,15.5,65,7,NNE,22,1017.4
09-07-2024,9.3,13.1,8.4,1.2,0,SSW,30,17:37,11.4,100,8,W,6,1020.2,12.3,100,8,SW,9,1020.3
10-07-2024,10.2,14.3,11.8,3,3.8,NNE,35,23:38,10.5,80,7,WNW,9,1021.9,12.9,63,1,N,9,1019.8
11-07-2024,9.7,13.6,0,1.6,0.3,N,52,16:23,12.1,69,7,NNE,17,1017.5,13.4,62,7,N,28,1013
12-07-2024,10.2,14.8,3.6,0,5.1,N,30,01:18,10.4,100,8,N,9,1015.4,14.6,65,1,SSW,2,1014
13-07-2024,7.9,13.7,0.8,1.2,5.2,SSW,24,14:18,10.4,93,1,W,7,1017.3,12.6,73,6,SSW,11,1016.1
14-07-2024,6.8,12,3.4,2,3.4,SSW,30,16:46,7.5,92,7,SW,9,1016.3,11.3,69,2,SW,11,1013.3
15-07-2024,7.3,12.1,1.2,0.4,0.7,WSW,41,11:37,9,80,4,WNW,13,1007.8,10.3,80,8,W,15,1004.1
16-07-2024,9,13.6,19.6,0.6,0,S,37,02:02,12.1,100,8,SSW,9,1005.8,13,88,8,SSW,9,1007.1
17-07-2024,8.6,14,0.2,0.6,1.2,SSW,33,18:57,10.3,100,8,SW,4,1012.4,12.3,85,7,SW,13,1011.6
18-07-2024,7.3,12.1,1,1.2,3.9,WSW,28,12:17,8.5,82,3,WSW,9,1017.1,11,63,6,SSW,6,1015.6
19-07-2024,7.7,12.1,0,1.6,0.1,N,57,20:16,9.5,66,7,N,20,1010.5,11.2,67,8,N,28,1005.3
20-07-2024,9.5,12.2,0,2.4,0.1,N,46,00:09,10.8,60,7,NW,20,997.5,11.7,85,7,W,15,1002.5
21-07-2024,7.9,16.6,4,2.8,4.6,NW,31,14:44,10,76,5,N,11,1018.2,14.3,62,7,N,17,1017.6
22-07-2024,9.9,17.1,0.6,0.8,5.1,NNW,41,12:19,12.3,81,3,N,17,1021.9,17,58,7,NNW,19,1021.2
23-07-2024,11.1,17.7,0,2.8,7.1,NNW,50,15:19,12.7,57,7,N,17,1023.9,17,46,7,N,19,1020.9
24-07-2024,11,15.8,0.2,4.3,1.1,N,56,15:45,11.6,56,7,N,19,1019.1,15.7,48,8,N,22,1013.8
25-07-2024,11.5,13.7,0,3.4,1.9,N,54,02:09,12.7,64,8,N,15,1010.3,12.5,77,7,N,9,1009.1
26-07-2024,7.7,14.5,3.2,1.6,8.7,NNW,54,15:14,9.8,74,1,N,19,1017.2,14,61,1,N,31,1015.9
27-07-2024,9.7,11.8,0,3,1.7,W,52,17:48,10.2,74,7,N,19,1016.4,9.1,86,7,SW,6,1016.5
28-07-2024,5.4,11.7,6.2,1,4.1,SSW,41,14:24,7.1,82,6,WSW,11,1024,11.2,57,7,SSW,13,1025.5
29-07-2024,7,11.7,2.8,1.2,0.3,W,17,01:10,8.1,100,8,WSW,4,1031.6,11.4,93,7, ,Calm,1031.3
30-07-2024,6.8,13.9,1.2,0,7.5,SSW,19,14:36,7.5,96,7,NE,11,1037.5,12.4,69,2,SSW,9,1035.9
31-07-2024,3.5,10.2,0,1,5.2,NE,13,04:31,5,100,8,NNE,7,1037.8,9.2,78,1,N,9,1036
