Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01-06-2024,7.3,14,0,3,3,S,26,15:11,10.2,76,2,NNE,2,1025.9,13.5,69,6,SSW,13,1025.2
02-06-2024,5.4,13.9,0.2,0.2,0.9,S,35,11:02,8.9,97,7, ,Calm,1027,13.3,59,6,S,9,1024.1
03-06-2024,8.2,14.6,0.8,1.6,1.6,S,24,13:15,9.6,89,7,SW,6,1016.5,13.4,64,5,SSW,11,1012.9
04-06-2024,7.2,13.8,0,1,0.2,NW,20,02:04,11.1,65,7,NNW,13,1018,12.8,60,7,S,6,1016.9
05-06-2024,8.6,14.7,0,1,2.1,S,24,15:18,10.5,84,7,NNE,2,1022.5,14.4,63,7,SSW,7,1022.8
06-06-2024,8.9,17.1,0,1.4,4.5,SSE,31,12:56,11.4,84,7,S,2,1027.3,16.3,60,3,SSE,11,1025.2
07-06-2024,9.3,16,0,1.2,1.7,,,,10.8,100,4,SSE,7,1025,15.1,72,,S,13,1020.8
08-06-2024,7.8,14.3,0.2,1,0.1,S,17,12:13,11.2,100,7,SE,2,1018,12.9,95,7,SSW,9,1016.1
09-06-2024,11.1,14.6,0.4,0.2,0.1,NW,19,04:31,11.8,99,8,WSW,6,1018.5,13.7,67,7,SSW,6,1018.7
10-06-2024,5.5,15.6,0.8,1,7,N,54,23:50,7.3,99,2,NE,6,1024.1,15.1,43,7,N,15,1020.2
11-06-2024,7.2,16.8,2.8,3,2.6,N,61,07:15,12.2,79,8,N,28,1011.6,15.7,64,4,NNW,15,1007.1
12-06-2024,9.6,12.9,5.6,2.4,3.4,W,37,04:58,10.9,74,4,SW,11,1016.2,12.6,52,7,SSW,11,1019.5
13-06-2024,8.3,10.1,0.8,1,0,W,17,09:39,9.3,86,7,WSW,7,1023.5,9.6,99,7, ,Calm,1022
14-06-2024,8,12.2,1.2,0.4,0.1,N,15,09:50,8.6,100,7,NNE,6,1020.9,12.1,70,7,SSE,4,1018.7
15-06-2024,4.1,14.4,0,0.6,4.1,ESE,33,11:48,6.3,100,7, ,Calm,1022.7,13.3,65,6,S,11,1021.2
16-06-2024,6.1,13.4,0,0.8,4.7,S,39,19:04,8.6,79,3,SW,7,1022.1,12.8,65,7,S,13,1021.3
17-06-2024,7.5,13.9,0.2,1.6,6.3,S,24,00:57,8.8,89,7, ,Calm,1022.6,13.4,62,2,SSW,11,1020.9
18-06-2024,3.6,13,0,1.8,6.1,SSW,17,15:15,5.5,86,5,NNE,7,1020.9,12.2,60,3,SSW,7,1018.1
19-06-2024,1.4,12.9,0,0.8,8.6,NNE,24,14:42,3.2,86,1,NNE,9,1018.6,12.2,48,4,N,11,1015.6
20-06-2024,3.1,13.9,0,1.6,0.7,SSE,17,20:49,7.1,73,7,NNE,7,1017.4,11.3,58,7,SSW,7,1016.1
21-06-2024,4,13.2,0,0.8,1.1,SSW,24,12:59,5.9,88,7, ,Calm,1023,12.7,62,7,SSW,13,1023.8
22-06-2024,5.1,13.3,0.2,1,5.1,SSW,20,12:17,7.1,100,3,NE,7,1031,12.2,72,7,SSW,9,1029.3
23-06-2024,2.2,15,0,1.4,8.6,N,24,14:39,2.9,100,1,NNE,9,1027.8,14.9,51,1,N,13,1022.8
24-06-2024,2.9,13.5,0,2,3,N,39,12:28,6.7,81,7,NNE,9,1018.6,12.5,57,6,NNE,15,1015.1
25-06-2024,6.7,16.8,0,1.8,6.1,N,43,01:55,10.3,75,7,N,9,1015.4,16.5,45,4,N,19,1013.7
26-06-2024,10,14.4,0.2,3.4,5.5,NNW,35,14:05,10.2,69,1,N,17,1014.9,13.7,50,4,NNW,17,1014.2
27-06-2024,9.3,16.6,0.2,1.6,8.1,NNW,28,10:57,11.2,77,1,NNW,9,1019.8,15.1,45,3,NNW,11,1019.3
28-06-2024,8.2,16.8,0,1.8,6.1,N,50,22:49,12.1,71,3,NNW,20,1022.3,15.6,54,7,N,26,1018.1
29-06-2024,12,12.9,0,5.2,0,N,50,00:32,12.8,51,7,N,19,1013.1,10.6,89,7,NW,7,1013.4
30-06-2024,7,12.2,7,2,4,SSE,35,12:45,7.6,87,6,SW,6,1021,10.7,77,7,SSW,11,1021.8
